Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Cadence,Max Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Decompression,Weight,Current,Surface Conditions,Water Type
running,11/02/2018 17:48,FALSE,Dun Laoghaire Running,10.38,719,56:37:00,162,186,4.8,177,185,05:27,04:10,185,185,1.03,0,7.3,262,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,31/12/2017 13:32,FALSE,Dun Laoghaire Running,10.53,749,56:30:00,166,186,5,177,186,05:22,04:07,181,182,1.05,0,7.4,255,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,28/12/2017 17:17,FALSE,Dun Laoghaire Running,10.71,744,01:00:15,157,182,4.1,177,189,05:38,03:41,198,183,1,0,7,271,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,15/11/2017 19:12,FALSE,Dun Laoghaire Running,10.54,682,54:50:00,159,181,4.3,180,193,05:12,02:41,178,177,1.07,0,7.2,252,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
trail_running,11/11/2017 10:32,FALSE,IMRA at Maulin and Djouce,15.37,"1,388",02:08:54,155,187,4.1,129,255,08:23,04:16,848,834,0.91,0,13.4,380,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
track_running,06/11/2017 18:58,FALSE,Dun Laoghaire Running,7.95,530,43:16:00,158,180,3.7,176,200,05:27,03:47,128,120,1.03,0,6.7,256,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
trail_running,05/11/2017 09:21,FALSE,Maulin ,11.75,849,01:52:02,133,173,3,123,227,09:32,04:48,549,545,0.84,0,7.3,342,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,01/11/2017 16:52,FALSE,Dun Laoghaire Running,8.96,595,48:29:00,156,176,3.7,177,197,05:25,04:02,167,148,1.04,0,7.3,254,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,27/10/2017 18:15,FALSE,Dun Laoghaire Running,10.86,734,56:37:00,162,184,4.3,177,189,05:13,03:23,142,207,1.08,0,7.7,257,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
track_running,25/10/2017 18:53,FALSE,Dun Laoghaire Running,7.83,519,41:43:00,158,181,3.7,172,195,05:20,02:48,130,120,1.08,0,7.4,254,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,22/10/2017 08:59,FALSE,Dun Laoghaire Running,24.3,"1,425",02:15:10,153,177,3.4,176,185,05:34,02:25,289,274,1.02,0,7.6,254,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
track_running,18/10/2017 18:31,FALSE,Dun Laoghaire Running,8.56,539,47:57:00,152,178,3.6,167,199,05:36,03:44,161,152,1.05,0,7.4,264,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,15/10/2017 08:55,FALSE,Dun Laoghaire Running,11.55,717,01:06:48,149,172,3.4,177,187,05:47,04:10,215,194,0.97,0,7.5,254,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,11/10/2017 18:25,FALSE,Dun Laoghaire Running,10.22,673,55:50:00,157,177,4,174,201,05:28,02:42,166,144,1.04,0,7.3,257,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
trail_running,08/10/2017 12:52,FALSE,Three Rock,22.9,"1,184",02:30:34,147,173,3.6,159,242,06:34,02:24,469,413,0.95,0,7.5,290,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
track_running,06/10/2017 17:54,FALSE,Dun Laoghaire Running,10.18,675,59:34:00,152,176,3.5,174,197,05:51,04:29,175,154,0.97,0,6.8,261,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,04/10/2017 17:38,FALSE,Dun Laoghaire Running,10.93,734,58:06:00,157,179,4.4,180,188,05:19,03:36,203,183,1.05,0,7.1,256,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,01/10/2017 08:51,FALSE,Dun Laoghaire Running,10.34,671,59:04:00,153,181,3.5,171,197,05:43,03:05,172,149,1.01,0,7.4,254,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,29/09/2017 19:09,FALSE,Dun Laoghaire Running,9.96,656,54:33:00,154,177,4,173,208,05:29,04:15,179,188,1.06,0,7.9,261,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
track_running,24/09/2017 09:40,FALSE,Dun Laoghaire Running,10.48,716,01:04:19,153,182,3.3,166,201,06:08,04:00,164,151,0.96,0,7.2,264,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,17/09/2017 12:36,FALSE,Dun Laoghaire Running,16.64,"1,025",01:31:19,149,170,3.5,175,188,05:29,02:50,132,185,1.04,0,8,260,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,15/09/2017 18:18,FALSE,Dun Laoghaire Running,9.99,668,55:08:00,156,179,3.7,174,186,05:31,03:12,188,168,1.04,0,7.7,263,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
track_running,13/09/2017 17:46,FALSE,Dun Laoghaire Running,8.53,583,47:06:00,158,179,3.8,174,195,05:31,03:31,167,146,1.04,0,7.8,271,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,10/09/2017 17:57,FALSE,Dun Laoghaire Running,15.01,945,01:22:20,155,177,3.7,173,199,05:29,04:27,315,282,1.05,0,7.6,265,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
track_running,06/09/2017 19:13,FALSE,Dun Laoghaire Running,8.22,575,45:47:00,161,181,3.9,173,208,05:34,02:56,161,148,1.03,0,7.6,273,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,03/09/2017 18:36,FALSE,Dun Laoghaire Running,8.68,561,47:38:00,153,179,3.5,173,182,05:29,03:21,131,136,1.05,0,7.9,270,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
track_running,30/08/2017 19:23,FALSE,Dun Laoghaire Running,8.74,601,48:20:00,161,177,3.9,175,189,05:32,04:07,167,148,1.03,0,7.5,261,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,27/08/2017 18:46,FALSE,Dun Laoghaire Running,22.01,"1,423",02:01:18,158,172,5,175,204,05:31,01:51,107,116,1.04,0,7.5,266,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
